raw,normalized,script,status
😅😅😅😅,,,dropped:too_short
Purana news ko kyun dikhate rahte ho bakwas hai.,Purana news ko kyun dikhate rahte ho bakwas hai.,roman,kept
Modi ji ab kbhe pm na bane,Modi ji ab kbhe pm na bane,roman,kept
આ કઇ ચેનલ છે...????,,,dropped:not_valid
Bangla or gadian.kab.sopenge,Bangla or gadian.kab.sopenge,roman,kept
Feq vidiyo old vidiyo bandha kar,Feq vidiyo old vidiyo bandha kar,roman,kept
Dhruv rathi long live,Dhruv rathi long live,roman,kept
गलत समाचार दिखा कर क्या दिखाना चाहते है।,गलत समाचार दिखा कर क्या दिखाना चाहते है.,devanagari,kept
Ye galiya ye chobara yaha aana na dubara modi kabhi bi ab PM bann ne ka sochna 😊,Ye galiya ye chobara yaha aana na dubara modi kabhi bi ab PM bann ne ka sochna,roman,kept
ऐसे समाचार मत दिखाओ,ऐसे समाचार मत दिखाओ,devanagari,kept
Thanku modi jii,Thanku modi jii,roman,kept
Thank you for what,Thank you for what,roman,kept
Modi ji estifa ya resign Dene ki liye thanku,Modi ji estifa ya resign Dene ki liye thanku,roman,kept
Dhruv rathee is the great man in this fight,Dhruv rathee is the great man in this fight,roman,kept
झूठी न्यूज़ शर्म आनी चाहिए,झूठी न्यूज़ शर्म आनी चाहिए,devanagari,kept
😂😂😂😂😂😂😂,,,dropped:too_short
Ye be sharm ko itni sharm kaise agyi iski gairat kyu jaag gyi h,Ye be sharm ko itni sharm kaise agyi iski gairat kyu jaag gyi h,roman,kept
Jab janta sarkar se woob Jaye to sarkar satta chhor de eesse koye Fark nhi perta hai Janta khud kmana khana janti Hain diye gye tukro ki perwah nhi kerte Hain  Ye sab sansad wall ka khel hai sasta mein khate aur nawtank drama kerte hain,Jab janta sarkar se woob Jaye to sarkar satta chhor de eesse koye Fark nhi perta hai Janta khud kmana khana janti Hain diye gye tukro ki perwah nhi kerte Hain Ye sab sansad wall ka khel hai sasta mein khate aur nawtank drama kerte hain,roman,kept
इस्तीफा देगा तब न तीसरा टर्म का शपत लेंगे,इस्तीफा देगा तब न तीसरा टर्म का शपत लेंगे,devanagari,kept
Accha esa bi kuch hotha h??,Accha esa bi kuch hotha h??,roman,kept
Resident579  so in this case what modi had said??,Resident579 so in this case what modi had said??,roman,kept
Hamare pass bramosh misil operesindor yad karo yeh modi hai isrel ka frends hai,Hamare pass bramosh misil operesindor yad karo yeh modi hai isrel ka frends hai,roman,kept
Ab yogi baba banenge prime minister,Ab yogi baba banenge prime minister,roman,kept
Jhuta News.faila raha hay.,Jhuta News.faila raha hay.,roman,kept
India ghathabandan ap ni daba pesh kar sakte hai yah new mujh yakin hi nehi,India ghathabandan ap ni daba pesh kar sakte hai yah new mujh yakin hi nehi,roman,kept
Kya karta logo ki dil me chhed ho raha tha ab dekhate hai kya garib janta ko kon pm samjhega modi is best,Kya karta logo ki dil me chhed ho raha tha ab dekhate hai kya garib janta ko kon pm samjhega modi is best,roman,kept
This is sub zut like zute,This is sub zut like zute,roman,kept
What a joke,What a joke,roman,kept
Modi Maha dev avtar hai istifa nahi dena chai Hindu dhram khatre me hai,Modi Maha dev avtar hai istifa nahi dena chai Hindu dhram khatre me hai,roman,kept
मोदी इस्तीफा,मोदी इस्तीफा,devanagari,kept
"Harzana bhi dena hoga p m modi ji , 140 carod janta ko ,Hume maaf karna, audit kar liye hain hum , 🙏","Harzana bhi dena hoga p m modi ji , 140 carod janta ko ,Hume maaf karna, audit kar liye hain hum ,",roman,kept
ठाकुरो ने राजनीति ख़त्म कर दी भाजपा की,ठाकुरो ने राजनीति ख़त्म कर दी भाजपा की,devanagari,kept
Bhai Aisa nhi hai humare yaha jitne v thakur hai sabne bjp ko hi vote Diya baki jinka dimag kharab hai unko kuch kaha nhi ja sakta,Bhai Aisa nhi hai humare yaha jitne v thakur hai sabne bjp ko hi vote Diya baki jinka dimag kharab hai unko kuch kaha nhi ja sakta,roman,kept
Ranjna gasti kya kregi 😂😂,Ranjna gasti kya kregi,roman,kept
Jmabhi ki latest news batao feko mat,Jmabhi ki latest news batao feko mat,roman,kept
Istifa toh dena hoga He has done 75 years completed.  New pm should become Nimala she is educated lady my vote is go for Nimala sitaraman.,Istifa toh dena hoga He has done 75 years completed. New pm should become Nimala she is educated lady my vote is go for Nimala sitaraman.,roman,kept
Feko nahi.oppodiyion has does not have unity,Feko nahi.oppodiyion has does not have unity,roman,kept
Yogiji ko pm banao,Yogiji ko pm banao,roman,kept
"Election karane ki jaroorat bhi nhi, election ko 5-10 dal ke liye suspend rakhna hoga. Election ki abhi koi baat nhi krni hogi.","Election karane ki jaroorat bhi nhi, election ko 5-10 dal ke liye suspend rakhna hoga. Election ki abhi koi baat nhi krni hogi.",roman,kept
पुराना वीडियोप्रस्तुत कर अपना और पब्लिक का समय क्यों बर्बाद कर रहे हो।,पुराना वीडियोप्रस्तुत कर अपना और पब्लिक का समय क्यों बर्बाद कर रहे हो.,devanagari,kept
🤪🤪🤪🤪🤪❤️,,,dropped:too_short
🇳🇪,,,dropped:too_short
Itna bada dil nahin hai istifa denge .bidesh kaise ghumenge .photo session kaise hoga .,Itna bada dil nahin hai istifa denge .bidesh kaise ghumenge .photo session kaise hoga .,roman,kept
A jisu ale sanam Isai adibasi manawa ku dayawale Isor baba 😹💯💕💜🙌✋👏👏 sarhama police wale 15 Agust ko selute karte hai mother Teresa 💞 ❣️ world Salman Khan at India Bible College Ranchi Jharkhand Father misson india अ,A jisu ale sanam Isai adibasi manawa ku dayawale Isor baba sarhama police wale 15 Agust ko selute karte hai mother Teresa ️ world Salman Khan at India Bible College Ranchi Jharkhand Father misson india अ,roman,kept
Yah sab TRP per tutane ke liye,Yah sab TRP per tutane ke liye,roman,kept
मेरा दिल अंतर आत्मा को शुकून मिला,मेरा दिल अंतर आत्मा को शुकून मिला,devanagari,kept
मज़ा आ गया,मज़ा आ गया,devanagari,kept
Bahut Khushi ki baat hai desh ke acche din ayenge,Bahut Khushi ki baat hai desh ke acche din ayenge,roman,kept
We lost our Gem!,We lost our Gem!,roman,kept
Its just formality brother,Its just formality brother,roman,kept
​ @SAQIBGAMERJI  to modiji fir se gaddi me aayenge kya bhai ?,,,dropped:spam
@raja_chaurasia15  yes absolutely,,,dropped:spam
@raja_chaurasia15  its just end of previous term,,,dropped:spam
Nda will submit another file to make govt on india beacuse they have majority  And probably pm will take oth on 8 june,Nda will submit another file to make govt on india beacuse they have majority And probably pm will take oth on 8 june,roman,kept
@SAQIBGAMERJI  Thanks brother now I understood 😃,,,dropped:spam
@raja_chaurasia15  ❤,,,dropped:spam
​ @SAQIBGAMERJI bhai I Love you bhai jab maina suna ke ya stipha de raha hai tab mai Rona laga tha par ab ya sun kar accha laga Raha hai ke ya bs ak formality hai ❤❤❤,,,dropped:spam
Yeh Sala Ho Kya Raha Hai Odisha Mein Pehli Baar Bjp Aya Aur Yeh Sunne Ko Mil Raha Hai 😭,Yeh Sala Ho Kya Raha Hai Odisha Mein Pehli Baar Bjp Aya Aur Yeh Sunne Ko Mil Raha Hai,roman,kept
@RajanKumar-tg1wb  are bhai modi sir phir se ayenge,,,dropped:spam
​ @RajanKumar-tg1wb  yeh to hona hi tha 25yr se BJD ne kuchh achha nahi Kiya Jo Western odisha main to puchho hi mat   Finally 😮‍💨,,,dropped:spam
And we gain diamond 💎,And we gain diamond,roman,kept
@Zyrenis-z2n  tujhse pucha nahi,,,dropped:spam
@Karan_x_Editx   i was not replying to you🗿 I was  just saying my opinion🗿,,,dropped:spam
@Zyrenis-z2n  you're barking in my Reply btw*,,,dropped:spam
@Karan_x_Editx  🗿,,,dropped:spam
😅😅😅,,,dropped:too_short
@SAQIBGAMERJI,,,dropped:spam
हमारे को प्रधानमंत्री हमारा राहुल गांधी चाहिए,हमारे को प्रधानमंत्री हमारा राहुल गांधी चाहिए,devanagari,kept
Modi ji 2 cror nokri or 15 lakh to de jate 😢😢,,,dropped:not_valid
Modi ne kabhi nhi bola hai 15L dene ka lekin tere PAPPU ne bola tha.,Modi ne kabhi nhi bola hai 15L dene ka lekin tere PAPPU ne bola tha.,roman,kept
Rahul seedha road PaR redhi khulwayega 😵‍💫🤣🤣🤣,Rahul seedha road PaR redhi khulwayega,roman,kept
😂😂,,,dropped:too_short
😂😂😂😂😂😂,,,dropped:too_short
😂sahi baat,,,dropped:too_short
Kapde utarke tel lagake let jaa modi ji aa rahe dene k liye,Kapde utarke tel lagake let jaa modi ji aa rahe dene k liye,roman,kept
Raaste ke samne Tokri leke baitho mil Jayega.,Raaste ke samne Tokri leke baitho mil Jayega.,roman,kept
मुर्मू को इस्तीफा मिला है मोदी को नहीं,मुर्मू को इस्तीफा मिला है मोदी को नहीं,devanagari,kept
काहे को फैकम फेक न्यूज़ लेट हो रे,काहे को फैकम फेक न्यूज़ लेट हो रे,devanagari,kept
Pm. Modi. Ji. Ko. Istifa. Nahi. Dena. Chahiye,,,dropped:not_valid
Rahul Gandhi ko kab deyeghe itipha ✋✋✋✋✋✋🎂🎂🎂🎂🎂,,,dropped:not_valid
Thodi bohot sharam bachi ho to gadkari ji ko pm bana do,Thodi bohot sharam bachi ho to gadkari ji ko pm bana do,roman,kept
ये कभी कि खबर है शायद पुराणी है जनता को ये पागल समस्ती है,ये कभी कि खबर है शायद पुराणी है जनता को ये पागल समस्ती है,devanagari,kept
Kejriwal ko batao Modi ki jagah,Kejriwal ko batao Modi ki jagah,roman,kept
जय श्री राम जय जय श्री राम 🙏 मोदीजी को लाओ देश बचाओ 🙏 मोदीजी के राज और योगी आदित्यनाथ जी महाराज के राज में हम सुरक्षित है ओर तों सब गुंडा राज हैं हम सब सुरक्षित रहेंगे तो थोड़ा भी खा लेंगे जय श्री राम 🙏🙏🚩,जय श्री राम जय जय श्री राम मोदीजी को लाओ देश बचाओ मोदीजी के राज और योगी आदित्यनाथ जी महाराज के राज में हम सुरक्षित है ओर तों सब गुंडा राज हैं हम सब सुरक्षित रहेंगे तो थोड़ा भी खा लेंगे जय श्री राम,devanagari,kept
modi mukht Bharat,modi mukht Bharat,roman,kept
Tere 20 baap 😂😂😂😂😂😂😂,,,dropped:not_valid
Islam mukt world,Islam mukt world,roman,kept
फेक न्यूज मत डालो‌ और लोगों की भावनाओं से मत खेलो।,फेक न्यूज मत डालो‌ और लोगों की भावनाओं से मत खेलो.,devanagari,kept
Modi hatao Bharat bachao  Jai Hind Jai Bharat,Modi hatao Bharat bachao Jai Hind Jai Bharat,roman,kept
Modi majik khatam,Modi majik khatam,roman,kept
Aarkkada Modiyude Isthifa vendathu vayum polichirunno kory annakkil ozhichutharam,Aarkkada Modiyude Isthifa vendathu vayum polichirunno kory annakkil ozhichutharam,roman,kept
Kyu diya zooth bol rahe hai,Kyu diya zooth bol rahe hai,roman,kept
सभी झूटी खबरे है.,सभी झूटी खबरे है.,devanagari,kept
Jab tack bjp shar car hogiy tab tack pakitan naahi bjp  kuhd dhagah carey giy desmen,Jab tack bjp shar car hogiy tab tack pakitan naahi bjp kuhd dhagah carey giy desmen,roman,kept
Pappu Sahu ne liye vah paise  Apni betiyon ki shaadi mein lagane ke liye  Ward number 20 ke Pappu Sahu ne liye apni ladkiyon ki shaadi ki lagane ke liye voice match aur chuhe ki table ke karobar ho sake ham tumhari madad karte rahenge,Pappu Sahu ne liye vah paise Apni betiyon ki shaadi mein lagane ke liye Ward number 20 ke Pappu Sahu ne liye apni ladkiyon ki shaadi ki lagane ke liye voice match aur chuhe ki table ke karobar ho sake ham tumhari madad karte rahenge,roman,kept
Jay congres Vijay congres,Jay congres Vijay congres,roman,kept
Yogi baba ko banao pm,Yogi baba ko banao pm,roman,kept
बुध्दि बाली पोस्ट डालों,बुध्दि बाली पोस्ट डालों,devanagari,kept
President shashn nhi bhart me rashterpti shashn aur priemminster shashn lagu kiya jaye pls kyuki himacham kee situation ye meadia ya pure bhart kee bhi ho skti yad rkhna is time himachal kee situatiation bihari ko bolte bhikhari se buri hogi yad rkhna nhi smbhle mar kat start ho jayegi pta kre kaise greebi aayi abhi moka hai himachal ko dekho kyuki himachal kee trh kisi aur ya pure bhart kee halt na ho agr khte gulam nhi honge do char stat aise ho gye bhart gulam ye kya ho rha,President shashn nhi bhart me rashterpti shashn aur priemminster shashn lagu kiya jaye pls kyuki himacham kee situation ye meadia ya pure bhart kee bhi ho skti yad rkhna is time himachal kee situatiation bihari ko bolte bhikhari se buri hogi yad rkhna nhi smbhle mar kat start ho jayegi pta kre kaise greebi aayi abhi moka hai himachal ko dekho kyuki himachal kee trh kisi aur ya pure bhart kee halt na ho agr khte gulam nhi honge do char stat aise ho gye bhart gulam ye kya ho rha,roman,kept
Yah jhuthi khabar hai,Yah jhuthi khabar hai,roman,kept
",sapna dakho",",sapna dakho",roman,kept
Doobara Mt Lena 😂,Doobara Mt Lena,roman,kept
Abki bar padha likha pm chahiye,Abki bar padha likha pm chahiye,roman,kept
Abki bar tuje kya 12 pass pm chahiye 😂😂,,,dropped:not_valid
Ye Jhoothi News de rahi hai,Ye Jhoothi News de rahi hai,roman,kept
SC st OBC me se pm ho sang cuna huwa pm nahi manusmriti layenge jay sawidhan .,SC st OBC me se pm ho sang cuna huwa pm nahi manusmriti layenge jay sawidhan .,roman,kept
Modi aur shaha 2014 se railway motti rakam farji nakali 420diparmental jr sr engineer adhikari aur OS banara hai aur sath me sem direct bharti kr rha hai aur d group ka koi bhi promotion nahi hua fir bhi dimotion kr rha hai o bhi 5sal tk aur sath me transfer bhi??,Modi aur shaha 2014 se railway motti rakam farji nakali 420diparmental jr sr engineer adhikari aur OS banara hai aur sath me sem direct bharti kr rha hai aur d group ka koi bhi promotion nahi hua fir bhi dimotion kr rha hai o bhi 5sal tk aur sath me transfer bhi??,roman,kept
Are mere 15 लाख दे के जा 😅,,,dropped:not_valid
Hinjda??,,,dropped:too_short
Kyun bhranit karte ho,Kyun bhranit karte ho,roman,kept
Syria istifa dene garibon ko maar Dala Jaan se khatm kar Diya Kasauli Chad ke mar jaaye koi kaise kud ke mar raha koi kaise mare hain to bada Ghar kar diya pure Desh ka jindagi kharab kar di garibon ki ham 2005 kamate Hain pure din aur hamen marva Diya iski vajah se kisi Ko Naukri bhi nahin na kuchh Mila,Syria istifa dene garibon ko maar Dala Jaan se khatm kar Diya Kasauli Chad ke mar jaaye koi kaise kud ke mar raha koi kaise mare hain to bada Ghar kar diya pure Desh ka jindagi kharab kar di garibon ki ham 2005 kamate Hain pure din aur hamen marva Diya iski vajah se kisi Ko Naukri bhi nahin na kuchh Mila,roman,kept
India royega khoon ke ansu 🙂,India royega khoon ke ansu,roman,kept
Manipur,,,dropped:too_short
​​ @Amithh-t3t Santi se rahlo manipuri Manipuri karte rehteho,,,dropped:spam
@jmlife3223  kyu Manipur mai insaan nahi hai kya jab tere kisi ka sath hota kabhi kuch bolta,,,dropped:spam
Kota Patna kachra deti Ho Ek Taraf PM Modi Vishva Mein Kiska Rakhna isase pahle Diya 1,Kota Patna kachra deti Ho Ek Taraf PM Modi Vishva Mein Kiska Rakhna isase pahle Diya 1,roman,kept
کوی کام نہی ملتا پورا نا خبر پہنچا تے ہو,,,dropped:not_valid
Kaha gya modi ka beto papa ko bacha lo,Kaha gya modi ka beto papa ko bacha lo,roman,kept
Agar esa nhi hua to 😅jhuti chal pagali 😂,Agar esa nhi hua to jhuti chal pagali,roman,kept
Fakir admi jhola utha ke chal pada desh ko chuna laga ke 😠😠😠😠,Fakir admi jhola utha ke chal pada desh ko chuna laga ke,roman,kept
Puranik news dekhakar bhramet karta hai ye chenal,Puranik news dekhakar bhramet karta hai ye chenal,roman,kept
Pm modi bhi ache the but acha kiya kisi or ko bhi muka milna chaiye,Pm modi bhi ache the but acha kiya kisi or ko bhi muka milna chaiye,roman,kept
Ab Rahal  gandhi,Ab Rahal gandhi,roman,kept
😂😂😂😂😂😂😂😂😂😂😂😂😂 nautaki bass karo madam ..,,,dropped:not_valid
Jhooti kyon bakti hay,Jhooti kyon bakti hay,roman,kept
Jhutha hai purana neuj,Jhutha hai purana neuj,roman,kept
rahul hoga😂😂😂,,,dropped:not_valid
Sherbajar.pehla.crash.thay.jooth,Sherbajar.pehla.crash.thay.jooth,roman,kept
Bahut acha panoti gayi,Bahut acha panoti gayi,roman,kept
बोहोत बढिया हूआ झोला ले के चल पडो,बोहोत बढिया हूआ झोला ले के चल पडो,devanagari,kept
बासी न्यूज है,बासी न्यूज है,devanagari,kept
Modi gaya telanda me,Modi gaya telanda me,roman,kept
Yogi Aditya nath PM banega,Yogi Aditya nath PM banega,roman,kept
Agar ye baat jhooth nikli to tere ko paap lagega,Agar ye baat jhooth nikli to tere ko paap lagega,roman,kept
"सच में इस्तीफा देने की देश पर कृपा कर रहे हैँ,,","सच में इस्तीफा देने की देश पर कृपा कर रहे हैँ,,",devanagari,kept
"😂 आखिर नान बायोलॉजिकल, महामानव, को  "" झोला "" लेना ही पडा ?  😂 अब बहुत दुख हो रहा होगा ? 😂अब किसे सुनाएं मन की बात? 😂 कहा  करे मनमानी (तानाशाही )?😂",,,dropped:not_valid
प्रधानमंत्री राहुल गांधी को बनाना चाहिए❤❤,प्रधानमंत्री राहुल गांधी को बनाना चाहिए,devanagari,kept
एक साल पुरानी खबर का वीडीओ है। चुनाव के बाद नई सरकार के पहले यही प्रावधान है। तब तो कोई बवाल नहीं था जनता के मन में। इन्होंने हिंदू जगाया है तो हिन्दू भी चुप नहीं बैठेगा 2027 में।,एक साल पुरानी खबर का वीडीओ है. चुनाव के बाद नई सरकार के पहले यही प्रावधान है. तब तो कोई बवाल नहीं था जनता के मन में. इन्होंने हिंदू जगाया है तो हिन्दू भी चुप नहीं बैठेगा 2027 में.,devanagari,kept
Modiko Bharat ka PM 10000 sal Rakho Modi bina janta jinda nahi rahegi Modi ki Guarantee hai Modi jindabad Amar Rahe kayam PM Rahe Vikas shetkari gariboke liye Modi ki jarurat hai Modi ka Mandir Banavo Janta puja karegi ye Modi ki Guarantee hai Modi kayam PM Rahe 10000 sal ye Jantaki Ichha hai modi jindabad Amar Rahe,Modiko Bharat ka PM 100 sal Rakho Modi bina janta jinda nahi rahegi Modi ki Guarantee hai Modi jindabad Amar Rahe kayam PM Rahe Vikas shetkari gariboke liye Modi ki jarurat hai Modi ka Mandir Banavo Janta puja karegi ye Modi ki Guarantee hai Modi kayam PM Rahe 100 sal ye Jantaki Ichha hai modi jindabad Amar Rahe,roman,kept
भारत की  सबसे बड़ी खुशी की बात भाजपा गई सबके पास मोहब्बत की दुकान,भारत की सबसे बड़ी खुशी की बात भाजपा गई सबके पास मोहब्बत की दुकान,devanagari,kept
Modi ji ko hi pm hona chahiye  😕,Modi ji ko hi pm hona chahiye,roman,kept
Pehli baar kuch achcha kaam kiya hai 😂😂,Pehli baar kuch achcha kaam kiya hai,roman,kept
ਬਹੁਤ ਖੁਸੀ ਦੀ ਗੱਲ ਹੈ  ਪੂਰੇ ਭਾਰਤ ਵਾਸੀਓ ਨੂੰ ਲੱਖ ਲੱਖ ਵਧਾਈ ਹੋਵੇ। ਹੁਣ ਮੋਦੀ ਤੇ ਇਨਕੁਆਰੀ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ,,,dropped:not_valid
Mujhe to itni khushi ho rahi h ki bata nhi skti  Or independence day celebration hona chahiye,Mujhe to itni khushi ho rahi h ki bata nhi skti Or independence day celebration hona chahiye,roman,kept
Same here bro😂😂😂,,,dropped:not_valid
bilkul love you from kashmir bhai jaan,bilkul love you from kashmir bhai jaan,roman,kept
अब की बार 400पार,,,dropped:not_valid
मैडम सरकार बनके साल से ज्यादा हो गया.,मैडम सरकार बनके साल से ज्यादा हो गया.,devanagari,kept
15 lakh to dete jao😂😂😂,,,dropped:not_valid
सच पूछो तो दस साल के कार्यकाल में पहली बार अच्छा काम किया है 😅,सच पूछो तो दस साल के कार्यकाल में पहली बार अच्छा काम किया है,devanagari,kept
Modi jii jaisa pradhanmantri Desh ko na kabhi mila tha Jai shree Ram ❤️🙏,Modi jii jaisa pradhanmantri Desh ko na kabhi mila tha Jai shree Ram ️,roman,kept
Ha ye to sahi baat hai modi jaisa abtak aaya hi nahi koi pm 😂,Ha ye to sahi baat hai modi jaisa abtak aaya hi nahi koi pm,roman,kept
Public ko pareshan kar ke rakha tha,Public ko pareshan kar ke rakha tha,roman,kept
"ये कितना सही बता रहे चैनल वाले ये तो पता नही,पर लोकतंत्र की हम तो जीत ही मानेंगें । और नफरत की बाजार में मुहब्बत की दुकान इस देश मे सजेंगी","ये कितना सही बता रहे चैनल वाले ये तो पता नही,पर लोकतंत्र की हम तो जीत ही मानेंगें . और नफरत की बाजार में मुहब्बत की दुकान इस देश मे सजेंगी",devanagari,kept
Modi ji zindabad  Aap opposition me baitho,Modi ji zindabad Aap opposition me baitho,roman,kept
Rahul Gandhi jithabad ❤,Rahul Gandhi jithabad,roman,kept
Are ab to sharm karo in karo ab to band karo apni jhuthi kahani aur jhooth bolna,Are ab to sharm karo in karo ab to band karo apni jhuthi kahani aur jhooth bolna,roman,kept
Good Job PM modi resign,Good Job PM modi resign,roman,kept
Sare ke sare jhooth bolane wale ho tumhare Mazhab mein Kya jhooth bolna haram nahin Hai,Sare ke sare jhooth bolane wale ho tumhare Mazhab mein Kya jhooth bolna haram nahin Hai,roman,kept
Modi ka Zhola check Kerna Jeruri hi Desh ka kala Dhan leke Repuchecker na ho Jaye,Modi ka Zhola check Kerna Jeruri hi Desh ka kala Dhan leke Repuchecker na ho Jaye,roman,kept
Jeldi kro😂😂😂,,,dropped:too_short
Over  confident  hi wajaha h,Over confident hi wajaha h,roman,kept
Sab ki jaan bachi ees thagi se.,Sab ki jaan bachi ees thagi se.,roman,kept
Farji khabar farji,Farji khabar farji,roman,kept
झुटी अफवाह,झुटी अफवाह,devanagari,kept
Thoda or barbad hone se bachgaya,Thoda or barbad hone se bachgaya,roman,kept
Yogi,,,dropped:too_short
"He lost because of arrogance and non compliance with nirindra modi ka  garentee.  The people are sick and fed up with properganda on religion when the people don't have jobs and food on the table, and he's making a fool of himself saying, "" I have direct contact with God "" mangalsutra buffaloes Pakistan 🇵🇰 and years of paper leaks causing crores of loss to the public.  If there's paper leaks that means there's less qualified to give jobs Railway jobs are also held up so there'll be fewer pays out and more money 💰 in circulation and more to pump into roadways and industrialists. Poor of 🇮🇳 India did not know to figure this out but all parties have taken it on to educate the masses.  Ex spl forces/ crime branch govt of India.. daro mut abhimundra jai Shiv. Kai 🕉 stani!","He lost because of arrogance and non compliance with nirindra modi ka garentee. The people are sick and fed up with properganda on religion when the people don't have jobs and food on the table, and he's making a fool of himself saying, "" I have direct contact with God "" mangalsutra buffaloes Pakistan and years of paper leaks causing crores of loss to the public. If there's paper leaks that means there's less qualified to give jobs Railway jobs are also held up so there'll be fewer pays out and more money in circulation and more to pump into roadways and industrialists. Poor of India did not know to figure this out but all parties have taken it on to educate the masses. Ex spl forces/ crime branch govt of India.. daro mut abhimundra jai Shiv. Kai stani!",roman,kept
बकवास पुरानी खबर,बकवास पुरानी खबर,devanagari,kept
"Iswakt ki bori khabar ager nitish ji naidu ji palti mare to modi sarkar nahi ban payegi.modi fail nikla,nitish ji pm hona chahiye","Iswakt ki bori khabar ager nitish ji naidu ji palti mare to modi sarkar nahi ban payegi.modi fail nikla,nitish ji pm hona chahiye",roman,kept
Pagal News hai bho,Pagal News hai bho,roman,kept
Kabhi ka khabar hai modi Modi istifa de rahe hain,Kabhi ka khabar hai modi Modi istifa de rahe hain,roman,kept
ਦੇਸ਼ ਲਈ ਬਹੁਤ ਵਧੀਆ ਹੋ..👍👍👍👍👍,,,dropped:not_valid
Are pagal modi har bar stifa deta hai 😂 pareshan mat ho,Are pagal modi har bar stifa deta hai pareshan mat ho,roman,kept
"Don't spread false news. He never resigns, he borned to become P M.","Don't spread false news. He never resigns, he borned to become P M.",roman,kept
Desh ko barbad kar diya,Desh ko barbad kar diya,roman,kept
Galtat kharbar hai,Galtat kharbar hai,roman,kept
Jumla no 420,,,dropped:not_valid
Yogi ko bnao pm,Yogi ko bnao pm,roman,kept
Jhuuta news faila raha hay.,Jhuuta news faila raha hay.,roman,kept
Pagal,,,dropped:too_short
Abe pahle Resign Denge Tabhi To 3ri Baar Sapath Leke Pm Bangenge😂😂,Abe pahle Resign Denge Tabhi To 3ri Baar Sapath Leke Pm Bangenge,roman,kept
Namune hai sab  Itna samjh hota to 😂,Namune hai sab Itna samjh hota to,roman,kept
Ky fyda hua gufa se niklne ka wahi se chle jate te jhola lekar,Ky fyda hua gufa se niklne ka wahi se chle jate te jhola lekar,roman,kept
Jhuthi khabren dekar ke apna channel chalate ho aapko sharm nahin aati,Jhuthi khabren dekar ke apna channel chalate ho aapko sharm nahin aati,roman,kept
Ab. Modi. Jayenge. Jail,Ab. Modi. Jayenge. Jail,roman,kept
Pani me doob jana chahiye,Pani me doob jana chahiye,roman,kept
Chal jhuthi bakvas kar rahi 3,Chal jhuthi bakvas kar rahi 3,roman,kept
AAPBEWAKUF HAIN 2024 KI KHABAR 2025 MEN BATAKAR AAO JANTA KI DISHABHUL KAR RAHE HAI. AAPKO TAZA KHABREN NAHI MALUM TO UTUBE BAND KARDO..,AAPBEWAKUF HAIN 2024 KI KHABAR 2025 MEN BATAKAR AAO JANTA KI DISHABHUL KAR RAHE HAI. AAPKO TAZA KHABREN NAHI MALUM TO UTUBE BAND KARDO..,roman,kept
Very good news Gujarat Mehsana district BJP hatavo Desh Bachavo,Very good news Gujarat Mehsana district BJP hatavo Desh Bachavo,roman,kept
Modi ko 5000 sal P M  Rakho,,,dropped:not_valid
Modi ji desh ko age kiya h❤,Modi ji desh ko age kiya h,roman,kept
Great Day Modi resigned Achhe Din AayTe,Great Day Modi resigned Achhe Din AayTe,roman,kept
Rahul Gandhi jindabad,Rahul Gandhi jindabad,roman,kept
Fek modi ji jindabad,Fek modi ji jindabad,roman,kept
Modi ji dobara 8 june ko shapath lege..jai shree ram,Modi ji dobara 8 june ko shapath lege..jai shree ram,roman,kept
Bolo tara tara 🥳🥳🥳🥳,,,dropped:not_valid
इसने इराक में रूस में इसने दोस्ती करके नहीं डीजल पेट्रोल गैस बंद करवा दी सभी किसान लोग घबरा रहे हैं 3500 में सिलेंडर मिला है तो लड़ी है नहीं किस पर रोक चल रही है लड़कियों का सिलेंडर भी महंगा हो गया यह मोदी को सरकार से निकले,इसने इराक में रूस में इसने दोस्ती करके नहीं डीजल पेट्रोल गैस बंद करवा दी सभी किसान लोग घबरा रहे हैं 3500 में सिलेंडर मिला है तो लड़ी है नहीं किस पर रोक चल रही है लड़कियों का सिलेंडर भी महंगा हो गया यह मोदी को सरकार से निकले,devanagari,kept
बहुत ही दुखद बात देश के लिए नुकसान हैं🙏💕 में पुनः मोदी सर से अगरह करता हूँ देश में आपकी जरूरत है या अगला राष्ट्रपति के लिए तैयारी करने की जरूरत है🙏💕,बहुत ही दुखद बात देश के लिए नुकसान हैं में पुनः मोदी सर से अगरह करता हूँ देश में आपकी जरूरत है या अगला राष्ट्रपति के लिए तैयारी करने की जरूरत है,devanagari,kept
Modi hi aayega,Modi hi aayega,roman,kept
आयेगा तो अबकी बार कई पट्टे और लगाम पहने आयेगा,आयेगा तो अबकी बार कई पट्टे और लगाम पहने आयेगा,devanagari,kept
Rahul Gandhi best PM like ❤❤❤❤❤❤❤❤❤❤❤❤❤,,,dropped:not_valid
Dhruv Rathi attendance here. ❤️ 👇,Dhruv Rathi attendance here. ️,roman,kept
Modi ji aur Bharat ko Jai ho,Modi ji aur Bharat ko Jai ho,roman,kept
